Company, Found Date, City, Nation, Industry, Founder, Investor, Total Founding, Company Type, Operating Status, Last Valuation
StartupXseed Ventures, 2015, Bangalore, India, Financial Services, B. V. Naidu, Canbank Venture Capital Fund, , Y, Y, 
GrowthBook, 2020, —, —, A/B Testing, Graham McNicoll, Nexus Venture Partners, , Y, Y, 
Health, 2019, Atlanta, United States, Health Care, —, —, , Y, Y, 
Kixie, 2013, Santa Monica, United States, Enterprise Software, Jeff Kuei, —, , Y, Y, 
FilSwan, 2021, Toronto, Canada, Blockchain, Charles Cao, LD Capital, , Y, Y, 
Lightspark, 2022, Los Angeles, United States, Bitcoin, —, Ribbit Capital, , Y, Y, 
CRE Venture Capital, 2015, New York, United States, Venture Capital, Pardon Makumbe, Iyinoluwa Aboyeji, , Y, Y, 
Broad Sky Partners, 2013, New York, United States, Financial Services, Tyler Zachem, Capital Constellation, , Y, Y, 
Homeaglow, 2015, Wilmington, United States, Clean Energy, Aaron Cheung, Signatures Capital, , Y, Y, 
Journey, 2021, Seattle, United States, Information Technology, Anil Sevim, Y Combinator, , Y, Y, 
VoPay, 2015, Vancouver, Canada, Banking, Hamed Arbabi, Plug and Play, , Y, Y, 
Honeypot, 2015, Berlin, Germany, Information Services, Emma Tracey, H.I. Capital, , Y, Y, 
Morphais VC, 2020, Berlin, Germany, Artificial Intelligence, Eva-Valérie Gfrerer, Constanze Buchheim, , Y, Y, 
Ensemble Health Partners, 2014, Huntersville, United States, Health Care, Judson Ivy, Warburg Pincus, , Y, Y, 
Utopia Labs, 2021, —, —, Financial Services, Alexander Wu, Coinbase Ventures, , Y, Y, 
Climate First Bank, 2018, St. Petersburg, United States, Banking, —, Jacques Fu, , Y, Y, 
US Bitcoin Corp, 2020, Miami, United States, Bitcoin, Asher Genoot, 25madison, , Y, Y, 
Async, 2016, Los Angeles, United States, Android, Christopher Dro Asheghian, —, , Y, Y, 
Altered State Machine, 2021, Auckland, New Zealand, Artificial Intelligence, David M., Animoca Brands, , Y, Y, 
Dexi, 2015, London, United Kingdom, Analytics, Henrik Hofmeister, PreSeed Ventures, , Y, Y, 
LifeAt, 2021, Seattle, United States, Software, Devin Ajimine, TRAC, , Y, Y, 
JD.ID, 2015, Jakarta, Indonesia, E-Commerce, Qiangdong Liu, Gojek, , Y, Y, 
Owoafara, 2019, —, —, Finance, Tale Alimi, ShEquity, , Y, Y, 
Fincent, 2020, Sunnyvale, United States, Banking, Sunit S., Bossanova Investimentos, , Y, Y, 
GreenTrade, 2022, Eberswalde, Germany, Blockchain, Carsten Hermann, Flori Ventures, , Y, Y, 
Tallarna, 2017, London, United Kingdom, Analytics, —, ABB Technology Ventures, , Y, Y, 
IronRod Health, 2016, Phoenix, United States, Health Care, Andrew Nash, HCAP Partners, , Y, Y, 
Levee, 2016, São Paulo, Brazil, Apps, Derek Fears, TheVentureCity, , Y, Y, 
Voosh Technologies, 2020, Bangalore, India, Food and Beverage, Kevin Cornell, Y Combinator, , Y, Y, 
Coronis Health, 2015, Sykesville, United States, Billing, —, Brook Venture Partners, , Y, Y, 
RxSense, 2015, Boston, United States, Cloud Management, Rick Bates, Parthenon Capital Partners, , Y, Y, 
BOLDR, 2022, London, United Kingdom, Clean Energy, Madiyar Ablyazov, Stockholm Techstars Accelerator, , Y, Y, 
BentoML, 2018, San Francisco, United States, Developer Platform, Bozhao Yu, —, , Y, Y, 
ComplyCube, 2020, London, United Kingdom, Biometrics, Mohamed Alsalehi, —, , Y, Y, 
Skedda, 2013, Melbourne, Australia, Meeting Software, Jonathan Fagg, Five Elms Capital, , Y, Y, 
De Novo Dairy, 2021, Cape Town, South Africa, Biotechnology, Jean Louwrens, Big Idea Ventures, , Y, Y, 
Raine Ventures, 2013, San Francisco, United States, Funding Platform, Gordon Rubenstein, —, , Y, Y, 
Oklo, 2013, Sunnyvale, United States, Clean Energy, Caroline Cochran, Y Combinator, , Y, Y, 
MetaStable Capital, 2014, San Francisco, United States, —, Joshua Seims, Andreessen Horowitz, , Y, Y, 
Cadana, 2020, New York, United States, Financial Services, Albert Owusu-Asare, 500 Global, , Y, Y, 
Beeper, 2020, —, —, —, Brad Murray, Y Combinator, , Y, Y, 
Neon One, 2018, Chicago, United States, Information Services, Jeff Gordy, FTV Capital, , Y, Y, 
Elemind Technologies, 2019, Cambridge, United States, Consumer Electronics, David Wang, Evolution VC Partners, , Y, Y, 
MM.LaFleur, 2013, New York, United States, E-Commerce, Miyako Nakamura, 645 Ventures, , Y, Y, 
PrettyLitter, 2015, Los Angeles, United States, Consumer Goods, Daniel Rotman, Draper Associates, , Y, Y, 
Wings Lifestyle, 2018, Nagpur, India, Audio, Nishit Sharma, NODWIN Gaming, , Y, Y, 
Next Glass, 2012, Charlotte, United States, Craft Beer, Kurt T., Providence Strategic Growth (PSG), , Y, Y, 
Custodia, 2018, New York, United States, Artificial Intelligence, Elad Efraim, —, , Y, Y, 
has.to.be, 2013, Radstadt, Austria, Information Technology, Alexander Kirchgasser, EIT Digital Accelerator, , Y, Y, 
Beanly, 2018, Delhi, India, Coffee, —, Anurag Batra, , Y, Y, 
Andor Health, 2018, Orlando, United States, Artificial Intelligence, Raj Toleti, M12 - Microsoft's Venture Fund, , Y, Y, 
Renno, 2019, Los Angeles, United States, Building Material, Khalief Brown, Techstars, , Y, Y, 
DTEN, 2015, San Jose, United States, Computer, Wei Liu, Zoom, , Y, Y, 
Acrew Capital, 2019, San Francisco, United States, Business Development, Asad Khaliq, Rodrigo Garcia, , Y, Y, 
Monozukuri Ventures, 2015, Kyoto, Japan, CleanTech, Kenshin Fujiwara, Sony, , Y, Y, 
Red Dot Analytics, 2016, Singapore, Singapore, Artificial Intelligence, Angelina Terlaki, GSR Ventures, , Y, Y, 
VatnForn (Deepwaters), 2021, Delaware City, United States, Blockchain, Dylan Peters, Reawaken Capital, , Y, Y, 
Leslie, 2021, London, United Kingdom, —, Dovi David, The Middleby Corp, , Y, Y, 
Asia Innovations Group, 2013, Singapore, Singapore, E-Commerce, Andy Tian, Index Ventures, , Y, Y, 
Houzy, 2017, Zurich, Switzerland, Facility Management, Florian Ruegg, UBS, , Y, Y, 
Autonomous, 2015, New York, United States, Artificial Intelligence, Duy Huynh, Haitao Capital, , Y, Y, 
TresseNoire, 2014, Philadelphia, United States, Beauty, Ali Hamed, Backstage Capital, , Y, Y, 
Parker, 2019, New York, United States, E-Commerce, Milan Ray, Presight Capital, , Y, Y, 
Nécessaire, 2018, Culver City, United States, Consulting, Nick Axelrod, Able Partners, , Y, Y, 
koodos, 2020, New York, United States, Developer Tools, Brandon Baraban, Blockchain Capital, , Y, Y, 
Sweft, 2017, Philadelphia, United States, E-Commerce, Julie Bula, Plain Sight Capital, , Y, Y, 
Merge World, 2018, Chicago, United States, Advertising, Patrick Venetucci, Keystone Capital, , Y, Y, 
Talentdrop, 2019, San Francisco, United States, Human Resources, Janelle Tiulentino, Edward Lando, , Y, Y, 
Heading Health, 2020, Austin, United States, Health Care, Ali Mahomed, SeedToB Capital, , Y, Y, 
Thursday Boot Company, 2014, New York, United States, E-Commerce, Alicia Martinez, FJ Labs, , Y, Y, 
AppMap, 2020, Boston, United States, Software, Elizabeth Lawler, Work-Bench, , Y, Y, 
Watermark, 2018, New York, United States, Analytics, Webster Thompson, TCV, , Y, Y, 
AbsenceSoft, 2013, Golden, United States, Information Technology, Chad Scharf, Norwest Venture Partners, , Y, Y, 
Perimeter, 2019, Berkeley, United States, Public Safety, Bailey Farren, Alchemist Accelerator, , Y, Y, 
Ascend Venture Capital, 2018, Saint Louis, United States, Finance, —, Villhard Growth Partners, , Y, Y, 
ProtonVPN, 2016, Geneva, Switzerland, Cyber Security, Andy Yen, FONGIT, , Y, Y, 
Husky, 2016, Araraquara, Brazil, FinTech, Mauricio Carvalho, Bossanova Investimentos, , Y, Y, 
ONDO, 2020, New York, United States, E-Commerce, Daniel Shim, —, , Y, Y, 
Skylyte, 2019, Portland, United States, Health Care, Ines Gramegna, Techstars Workforce Development Accelerator, , Y, Y, 
Olympian Motors, 2021, Beverly Hills, United States, Augmented Reality, —, Y Combinator, , Y, Y, 
Harmony, 2014, London, United Kingdom, Biotechnology, Antonin Cohen, The Family, , Y, Y, 
Rukita, 2019, Jakarta Pusat, Indonesia, Real Estate, Wei-Chuan Chew, Lightspeed Venture Partners, , Y, Y, 
Fixigo, 2018, New Delhi, India, Automotive, —, Agility Ventures, , Y, Y, 
TokenPocket, 2018, Singapore, Singapore, Asset Management, Pan Fu, Huobi, , Y, Y, 
Builtfirst, 2020, San Francisco, United States, B2B, Aaron Bailey, 500 Global, , Y, Y, 
Summit Hosting, 2017, Alpharetta, United States, Information Services, Stanley Kania, Silver Oak Services Partners, , Y, Y, 
Mainstreet, 2019, Mumbai, India, Fashion, —, Kunal Shah, , Y, Y, 
Meme Inc, 2013, New York, United States, Computer, Diego Yanivello, FJ Labs, , Y, Y, 
MFGWorx, 2022, Warrenville, United States, Database, Joel Calderon, Techstars Workforce Development Accelerator, , Y, Y, 
TeklifimGelsin, 2021, Ankara, Turkey, Financial Services, Ertuğrul Hakan Biri, Startup Wise Guys, , Y, Y, 
Ancient Ritual, 2019, San Francisco, United States, Health Care, David Bladow, Seven Seven Six, , Y, Y, 
Collatree, 2020, Calicut, India, Consulting, —, —, , Y, Y, 
FirstHive, 2019, San Jose, United States, Analytics, Aditya Bhamidipaty, Mela Ventures, , Y, Y, 
CoRover, 2016, Bengaluru, India, Artificial Intelligence, Ankush Sabharwal, Canbank Venture Capital Fund, , Y, Y, 
Exampur, 2018, New Delhi, India, E-Learning, Alok Singh Rana, Prashant Kumar, , Y, Y, 
sharpsell.ai, 2018, Bengaluru, India, —, —, Cornerstone Venture Partners Fund, , Y, Y, 
Transfez, 2020, Jakarta, Indonesia, Financial Services, Bondan Herumurti, BEENEXT, , Y, Y, 
Metvy, 2018, Gurgaon, India, E-Learning, Shawrya Mehrotra, Ivy Growth Associates, , Y, Y, 
Character, 2021, —, —, Consumer Software, Daan Zeeuwe, Entrepreneur First, , Y, Y, 
Synergy Dynamics (HK) Limited, 2013, Shenzhen, China, Artificial Intelligence, Quan Lan, —, , Y, Y, 
COTU Ventures, 2020, Dubai, United Arab Emirates, —, Amir Farha, Dubai Future District Fund, , Y, Y, 
Salsa, 2021, San Francisco, United States, Developer APIs, John Kramer, —, , Y, Y, 
Photon Commerce, 2019, San Francisco, United States, Accounting, Michael Young, Village Global, , Y, Y, 
Mira, 2019, New York, United States, Health Care, Khang T. Vuong, Plug and Play, , Y, Y, 
Sifflet, 2021, Paris, France, Analytics, Salma Bakouk, Bessemer Venture Partners, , Y, Y, 
Tealfeed, 2021, Gurgaon, India, Blogging Platforms, Rohit Garg, ah! Ventures, , Y, Y, 
Ancilia, 2022, Mountain View, United States, Blockchain, —, Binance Labs, , Y, Y, 
Quazel, 2022, Zurich, Switzerland, —, —, Y Combinator, , Y, Y, 
Fondo, 2020, San Francisco, United States, Accounting, David J. Phillips, —, , Y, Y, 
Cedar Gate Technologies, 2014, Greenwich, United States, Analytics, David B. Snow, GTCR, , Y, Y, 
Aug 2, Agriculture, Transportation, Carter McPherson, Elon Musk, —, or Profit, Y, —
Mod5r, 2020, Riyadh, Saudi Arabia, Financial Services, Asmaa Alharbi, 500 Global, , Y, Y, 
Foxy, 2018, Delhi, India, Beauty, Ex Chandranshu Sinha, Google for Startups, , Y, Y, 
kumparan, 2017, Jakarta, Indonesia, Advertising, Arifin Asydhad, Go-Ventures, , Y, Y, 
MedPlum, 2022, San Francisco, United States, Health Care, Cody Ebberson, Page One Ventures, , Y, Y, 
Prometeo, 2018, Montevideo, Uruguay, Banking, Eduardo Veiga, Hustle Fund, , Y, Y, 
Gameball, 2018, Gîza, Egypt, Software, Ahmed El Assy, 500 Global, , Y, Y, 
Gym Launch, 2016, Carrollton, United States, Internet, Alex Hormozi, American Pacific Group, , Y, Y, 
Circular, 2021, Singapore, Singapore, E-Commerce, Nicolas Ramsay, Y Combinator, , Y, Y, 
LAB Ventures, 2016, Miami, United States, Financial Services, Eduardo Barco, —, , Y, Y, 
Kosy, 2020, London, United Kingdom, Collaboration, Sam Meurs, Picus Capital, , Y, Y, 
Evergreen Services Group, 2017, San Francisco, United States, Finance, Jeff Totten, Alpine Investors, , Y, Y, 
BEETLE, 2021, Gurgaon, India, Communities, Shubham Jain, —, , Y, Y, 
CamCom, 2017, Bangalore, India, Artificial Intelligence, Ajith Nayar, Triton Investment Advisors LLP, , Y, Y, 
Kirana Club, 2021, Bengaluru, India, Mobile Apps, Anshul Gupta, Entrepreneur First, , Y, Y, 
Collov, 2019, Menlo Park, United States, Digital Marketing, Nicole Wang, Matrix Partners China, , Y, Y, 
Alectio, 2019, Santa Clara, United States, Artificial Intelligence, Jennifer Prendki, Alven, , Y, Y, 
Tuned, 2018, San Francisco, United States, Bitcoin, Alkarim Nasser, Graph Ventures, , Y, Y, 
University Living, 2015, New Delhi, India, Education, Mayank Maheshwari, LetsVenture, , Y, Y, 
Alera Group, 2017, Deerfield, United States, Employee Benefits, —, Genstar Capital, , Y, Y, 
Miku, 2018, Los Angeles, United States, Baby, Colt Seman, TQ Ventures, , Y, Y, 
Helpware, 2015, Lexington, United States, Accounting, Alexander Tereshchenko, Brainware Ventures LLC, , Y, Y, 
Inspire11, 2016, Chicago, United States, Consulting, Alban Mehmeti, Keystone Capital, , Y, Y, 
aiXplain, 2020, Los Gatos, United States, Artificial Intelligence, Hassan Sawaf, Transform VC, , Y, Y, 
REX Protocol, 2021, Miami, United States, Blockchain, Constantino Heredia, —, , Y, Y, 
eMed, 2020, —, —, Communications Infrastructure, Patrice A. Harris, SV Health Investors, , Y, Y, 
KalaGato, 2017, New Delhi, India, —, Aman Kumar, 9Unicorns Accelerator Fund, , Y, Y, 
18Birdies, 2014, Oakland, United States, Gaming, Eddy Lui, Decathlon Capital Partners, , Y, Y, 
